School Name,State,County,total_students,reduced_price,title_I
3D ACADEMY,Texas,Hidalgo County,-0.9931989982740408,-0.9705794718608747,1
6TH GRADE CENTER,Texas,Hunt County,-0.4371002456339838,-0.24717470916134693,1
7TH AND 8TH GRADE ACADEMY,Oklahoma,Muskogee County,0.35544994513649103,0.526120037172631,1
7TH AND 8TH GRADE ACADEMY,New Mexico,San Miguel County,-0.2728978580434158,0.05216519264535421,1
A & M CONS H S,Texas,Brazos County,3.08120957913992,1.4490847344099596,0
A & M CONSOLIDATED MIDDLE,Texas,Brazos County,0.637878051792268,0.17689015173147968,1
A B DUNCAN EL,Texas,Floyd County,-0.24224674569317647,-0.4217896518819226,1
A B MCBAY EL,Texas,Limestone County,0.254739147414276,0.2766701190003801,1
A C BLUNT MIDDLE,Texas,San Patricio County,-0.2597616670361704,0.40139507808650554,1
A C JONES H S,Texas,Bee County,0.8896550460978055,1.274469791689384,1
A E BUTLER INT,Texas,Hunt County,-0.018931498570003997,0.32656010263483026,1
A G ELDER EL,Texas,Johnson County,0.03142390029110352,0.15194515991425459,1
A LEAL JR MIDDLE,Texas,Bexar County,0.5962801136026574,-1.0204694554953249,1
A M OCHOA EL,Texas,Hidalgo County,-0.21597436367868558,-1.0204694554953249,1
A M PATE EL,Texas,Tarrant County,-0.11964229629221904,-0.8458545127747492,1
A N RICO EL,Texas,Hidalgo County,0.8261634562294526,-1.0204694554953249,1
A P BEUTEL EL,Texas,Brazoria County,-0.027688959241500957,-0.19728472552689674,1
A V CATO EL,Texas,Tarrant County,0.48681185520894543,0.37645008626928045,1
A+ ACADEMY EL,Texas,Dallas County,0.9553360011340328,1.3742497589582843,1
A. A. NELSON ELEMENTARY SCHOOL,Louisiana,Calcasieu Parish,0.3072839114432578,1.1996348162377086,1
A. MONTOYA ELEMENTARY,New Mexico,Bernalillo County,-0.4349108804661096,-0.3469546764302473,1
A.C. ALEXANDER ELEMENTARY SCHOOL,Louisiana,Jefferson Parish,0.057696282305594405,-0.22222971734412184,1
A.C. STEERE ELEMENTARY SCHOOL,Louisiana,Caddo Parish,-0.2597616670361704,-0.521569619150823,0
AARON PARKER EL,Texas,Lamar County,-0.7173389871218866,-0.3469546764302473,1
AB HARRISON INT,Texas,Collin County,0.090536759823708,-0.022669782806321072,1
ABBETT EL,Texas,Dallas County,0.22408803506403666,-0.047614774623546165,1
ABBEVILLE HIGH SCHOOL,Louisiana,Vermilion Parish,0.18686882721017456,-0.09750475825799636,1
ABBOTT SCHOOL,Texas,Hill County,-0.6341431107426654,-0.3469546764302473,1
ABELL J H,Texas,Midland County,0.7977017090470875,0.4512850617209557,1
ABERNATHY EL,Texas,Hale County,-0.3845554816050021,-0.047614774623546165,1
ABERNATHY H S,Texas,Hale County,-0.7611262904793713,-0.3968446600646975,1
ABERNATHY MIDDLE,Texas,Hale County,-0.8465115320264667,-0.6213495864197234,1
ABILENE H S,Texas,Taylor County,2.87978798369549,2.5466643743678636,1
ABIQUIU ELEMENTARY,New Mexico,Rio Arriba County,-0.9691159814274242,-1.0204694554953249,1
ABITA SPRINGS ELEMENTARY SCHOOL,Louisiana,St. Tammany Parish,0.3926691529903531,1.3493047671410592,1
ABITA SPRINGS MIDDLE SCHOOL,Louisiana,St. Tammany Parish,-0.2597616670361704,0.20183514354870477,1
ABNEY ELEMENTARY EARLY CHILDHOOD CENTER,Louisiana,St. Tammany Parish,-0.6407112062462882,-0.44673464369914767,1
ABOUT FACE PROGRAM EL,Texas,El Paso County,-1.196809958886345,-1.0204694554953249,1
ABQ CHARTER ACADEMY,New Mexico,Bernalillo County,-0.7830199421581138,-0.8957444964091994,1
ABQ SCHOOL OF EXCELLENCE,New Mexico,Bernalillo County,-0.5662727905385639,-0.5465146109680481,1
ABQ SIGN LANGUAGE ACADEMY,New Mexico,Bernalillo County,-1.0369863016315255,-0.7460745455058488,1
ABRAHAM KAZEN MIDDLE,Texas,Bexar County,-0.19189134683206896,-1.0204694554953249,1
ACADEMIC CENTER FOR EXCELLENCE,Arkansas,Lonoke County,-0.8158604196762274,-0.7710195373230739,1
ACADEMY AT CARRIE F THOMAS,Texas,Tarrant County,0.32260946761837744,0.9252399062482325,1
ACADEMY AT LARRAGOITE,New Mexico,Santa Fe County,-0.9734947117631726,-0.8458545127747492,1
ACADEMY AT NOLA DUNN,Texas,Johnson County,0.22627740023191087,-0.44673464369914767,0
ACADEMY CENTRAL ES,Oklahoma,Osage County,-0.44366834113760656,-1.0204694554953249,1
ACADEMY DEL SOL ALT.,New Mexico,Otero County,-0.8158604196762274,-0.6462945782369485,1
ACADEMY ES,Oklahoma,Texas County,-0.31011706589727794,0.30161511081760517,1
ACADEMY FOR TECH & CLASS,New Mexico,Santa Fe County,-0.4349108804661096,-0.6961845618713987,0
ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE,Texas,Taylor County,-0.5224854871810792,-0.4217896518819226,1
ACADEMY H S,Texas,Bell County,-0.41520659395524145,-0.521569619150823,1
ACADEMY INT,Texas,Bell County,-0.11088483562072207,0.5011750453554059,1
ACADEMY J H,Texas,Bell County,-0.36047246475838546,-0.4217896518819226,1
ACADEMY OF ACCELERATED LEARNING,Texas,Harris County,0.3138520069468805,0.027220200828129117,1
ACADEMY OF CHOICE,Texas,Harris County,-0.7720731163187425,-0.7710195373230739,0
ACADEMY OF CREATIVE ED,Texas,Bexar County,-0.931896773573562,-0.8458545127747492,1
ACADEMY OF DALLAS,Texas,Dallas County,0.09710485532733072,-0.7211295536886237,1
ACADEMY OF TRADES AND TECH,New Mexico,Bernalillo County,-0.9734947117631726,-1.0204694554953249,1
ACADIAN ELEMENTARY,Louisiana,Rapides Parish,-0.675741048932276,-0.8458545127747492,1
ACADIAN ELEMENTARY SCHOOL,Louisiana,Terrebonne Parish,0.5700077315881665,0.6757899880759816,1
ACADIAN MIDDLE SCHOOL,Louisiana,Lafayette Parish,-0.17656579065694927,-0.17233973370967165,1
ACADIANA HIGH SCHOOL,Louisiana,Lafayette Parish,2.60611733771121,2.7711693007228893,1
ACCELERATED INTERDISCIPLINARY ACAD,Texas,Harris County,-0.7129602567861381,-0.6961845618713987,1
ACCELERATED LEARNING CENTER,Texas,Nueces County,-0.9516010600844302,-0.6961845618713987,1
ACE LEADERSHIP HIGH SCHOOL,New Mexico,Bernalillo County,-0.5487578691955701,-0.6213495864197234,1
ACEQUIA MADRE ELEMENTARY,New Mexico,Santa Fe County,-0.8574583578658379,-0.7211295536886237,0
ACHIEVE ACADEMY,Texas,Collin County,-1.1092353521713756,-0.9955244636780998,0
ACHIEVE EARLY COLLEGE H S,Texas,Hidalgo County,-0.31230643106515216,-1.0204694554953249,1
ACHILLE ES,Oklahoma,Bryan County,-0.7742624814866168,-0.3968446600646975,1
ACHILLE HS,Oklahoma,Bryan County,-1.0107139196170347,-0.6961845618713987,1
ACHZIGER EL,Texas,Dallas County,0.6991802764927467,1.049964865334358,1
ACORN ELEMENTARY SCHOOL,Arkansas,Polk County,-0.5969239028888034,0.0771101844625793,1
ACORN HIGH SCHOOL,Arkansas,Polk County,-0.7589369253114971,-0.3220096846130222,1
ACTON EL,Texas,Hood County,0.29414772043601234,-0.17233973370967165,1
ACTON MIDDLE,Texas,Hood County,0.537167254070053,0.22678013536592986,0
AD WHEAT MIDDLE,Texas,Johnson County,0.3379350237934971,1.1497448326032584,1
ADA EC CTR,Oklahoma,Pontotoc County,-0.22473182435018255,-0.07255976644077126,1
ADA HS,Oklahoma,Pontotoc County,-0.1678083299854523,0.22678013536592986,1
ADA JHS,Oklahoma,Pontotoc County,-0.003605942394884317,0.30161511081760517,1
ADA MAE FAUBION EL,Texas,Williamson County,0.04893882163409744,0.22678013536592986,1
ADAIR HS,Oklahoma,Mayes County,-0.5772196163779352,-0.07255976644077126,1
ADAIR MS,Oklahoma,Mayes County,-0.7326645432970063,-0.19728472552689674,1
ADAM EL,Texas,Harris County,0.8502464730760693,0.42634006990373063,1
ADAMS EL,Texas,Johnson County,-0.20283817267144016,-0.12244975007522145,1
ADAMS EL,Texas,Tarrant County,0.528409793398556,0.9501848980654576,1
ADAMS ES,Oklahoma,Garfield County,-0.37798738610137933,-0.4217896518819226,1
ADAMS ES,Oklahoma,Comanche County,-0.8180497848441016,-0.6462945782369485,1
ADAMS ES,Oklahoma,Cleveland County,-0.018931498570003997,0.40139507808650554,1
ADAMS ES,Oklahoma,Oklahoma County,0.3423137541292456,0.027220200828129117,1
ADAMS HILL EL,Texas,Bexar County,-0.03425705474512368,-0.12244975007522145,1
ADAMS MIDDLE,Texas,Jim Wells County,0.48024375970532274,0.6009550126243063,1
