School Name,State,County,total_students,reduced_price,title_I
21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY,TEXAS,Hidalgo County,-0.48736497207035967,-0.8322033871476565,1
3D ACADEMY,Texas,Hidalgo County,-0.8743961938335688,-0.8322033871476565,1
6TH GRADE CENTER,Texas,Hunt County,-0.4075013866271578,-0.027150700477525262,1
7TH AND 8TH GRADE ACADEMY,Oklahoma,Muskogee County,0.3337965090251264,-0.8322033871476565,1
7TH AND 8TH GRADE ACADEMY,New Mexico,San Miguel County,-0.6696177696202307,-0.8322033871476565,1
A & M CONS H S,Texas,Brazos County,2.342672850557974,1.482323087028971,1
A & M CONSOLIDATED MIDDLE,Texas,Brazos County,0.7003498883670017,0.3753756428575404,1
A B DUNCAN EL,Texas,Floyd County,-0.22115302059302006,-0.8070454906892149,1
A B MCBAY EL,Texas,Limestone County,-0.2170574521087533,-0.4045191473541493,1
A C BLUNT MIDDLE,Texas,San Patricio County,-0.4525526399540922,-0.052308596935966865,1
A C JONES H S,Texas,Bee County,0.9501795659072744,-0.8322033871476565,1
A E BUTLER INT,Texas,Hunt County,-0.020470164863948634,0.12379667827312435,1
A G ELDER EL,Texas,Johnson County,-0.08599926061221685,0.6772704003588397,1
A LEAL JR MIDDLE,Texas,Bexar County,0.5180970908171307,-0.8322033871476565,1
A M OCHOA EL,Texas,Hidalgo County,-0.26620427391995444,-0.8322033871476565,1
A M PATE EL,Texas,Tarrant County,-0.09623818182288377,-0.5051507331879157,1
A N RICO EL,Texas,Hidalgo County,0.5119537380907306,-0.8322033871476565,1
A P BEUTEL EL,Texas,Brazoria County,0.10444467390618765,-0.3542033544372661,1
A P SOLIS MIDDLE,TEXAS,Hidalgo County,0.5590527756597984,-0.8322033871476565,1
A V CATO EL,Texas,Tarrant County,0.31127088236165923,0.5766388145250733,1
A+ ACADEMY EL,Texas,Dallas County,0.4607591320373961,1.482323087028971,1
A+ SECONDARY SCHOOL,TEXAS,Dallas County,-0.030709086074615543,0.3502177463990988,1
A+ UNLIMITED POTENTIAL - MUSEUM DISTRICT,TEXAS,Harris County,-1.0279800119935725,-0.7315718013138901,1
A+ UNLIMITED POTENTIAL - UNIVERSITY,TEXAS,Harris County,-0.9849765429087715,-0.6560981119385654,1
A. A. NELSON ELEMENTARY SCHOOL,Louisiana,Calcasieu Parish,0.42799458416326197,0.9036914684848141,1
A. MONTOYA ELEMENTARY,New Mexico,Bernalillo County,-0.23548751028795373,-0.07746649339440848,1
AARON PARKER EL,Texas,Lamar County,-0.6860000435572977,-0.5051507331879157,1
AB HARRISON INT,Texas,Collin County,0.2703151975189916,0.2999019534822156,0
ABBETT EL,Texas,Dallas County,0.3686088411413939,1.0546388472354637,1
ABBOTT SCHOOL,Texas,Hill County,-0.5713241259978283,-0.15294018276973328,1
ABELL J H,Texas,Midland County,0.9563229186336745,1.1804283295276716,1
ABERNATHY EL,Texas,Hale County,-0.4402659345012919,-0.00199280401908366,1
ABERNATHY H S,Texas,Hale County,-0.698286749010098,-0.027150700477525262,1
ABERNATHY MIDDLE,Texas,Hale County,-0.7904370399061001,-0.3542033544372661,1
ABILENE H S,Texas,Taylor County,3.210933369222528,3.5955863895380653,1
ABIQUIU ELEMENTARY,New Mexico,Rio Arriba County,-0.9112563101919697,-0.8322033871476565,1
ABITA SPRINGS ELEMENTARY SCHOOL,Louisiana,St. Tammany Parish,0.2477895708555244,0.5514809180666316,1
ABITA SPRINGS MIDDLE SCHOOL,Louisiana,St. Tammany Parish,-0.1023815345492839,-0.12778228631129168,1
ABNEY ELEMENTARY EARLY CHILDHOOD CENTER,Louisiana,St. Tammany Parish,-0.6245665162932963,-0.3542033544372661,1
ABOUT FACE PROGRAM EL,Texas,El Paso County,-1.1447037137951752,-0.8322033871476565,1
ABQ CHARTER ACADEMY,New Mexico,Bernalillo County,-0.6040886738719624,0.19927036764844916,1
ABQ SCHOOL OF EXCELLENCE,New Mexico,Bernalillo County,-0.055282496980216124,0.400533539315982,1
ABQ SIGN LANGUAGE ACADEMY,New Mexico,Bernalillo County,-0.9644987004874377,-0.681256008397007,1
ACADEMIC CENTER FOR EXCELLENCE,Arkansas,Lonoke County,-0.6225187320511629,-0.4045191473541493,1
