School Name,State,County,total_students,reduced_price,title_I
3D ACADEMY,Texas,Hidalgo County,-0.9240559737374038,-0.9438433729118408,1
6TH GRADE CENTER,Texas,Hunt County,-0.43949615416798116,-0.44342333772392767,1
7TH AND 8TH GRADE ACADEMY,Oklahoma,Muskogee County,0.2795994684807054,0.9327317590428336,1
7TH AND 8TH GRADE ACADEMY,New Mexico,San Miguel County,-0.2757636123956648,0.20712270802035943,1
A & M CONS H S,Texas,Brazos County,3.706919836120137,3.0094749050726732,0
A & M CONSOLIDATED MIDDLE,Texas,Brazos County,0.6004267462778117,0.43231172385492034,1
A B DUNCAN EL,Texas,Floyd County,-0.18947213767782245,-0.01806630781420149,1
A B MCBAY EL,Texas,Limestone County,0.5207730773074956,0.4823537273737117,1
A C BLUNT MIDDLE,Texas,San Patricio County,-0.29788963155408593,-0.0681083113329928,1
A C JONES H S,Texas,Bee County,1.0628605466888132,1.4331517942307466,1
A E BUTLER INT,Texas,Hunt County,0.003024229000441322,0.05699669746398548,1
A G ELDER EL,Texas,Johnson County,0.02072504432717822,0.18210170626096378,1
A LEAL JR MIDDLE,Texas,Bexar County,0.43890680642133745,-1.0189063781900278,1
A M OCHOA EL,Texas,Hidalgo County,-0.11424367253919063,-1.0189063781900278,1
A M PATE EL,Texas,Tarrant County,-0.07441683805403261,-0.7186543570772799,1
A N RICO EL,Texas,Hidalgo County,0.6004267462778117,-1.0189063781900278,1
A P BEUTEL EL,Texas,Brazoria County,0.00966203474796766,0.006954693945194166,0
A V CATO EL,Texas,Tarrant County,0.43669420450549534,0.5073747291331073,1
A+ ACADEMY EL,Texas,Dallas County,0.9588682566442338,1.5332358012683294,1
A. A. NELSON ELEMENTARY SCHOOL,Louisiana,Calcasieu Parish,0.2552608474064421,1.0828577695992074,1
A. E. PHILLIPS LABORATORY SCHOOL,Louisiana,Lincoln Parish,-0.3952441158511389,-1.0189063781900278,0
A. MONTOYA ELEMENTARY,New Mexico,Bernalillo County,-0.5280002308016657,-0.3683603324457407,1
A.C. ALEXANDER ELEMENTARY SCHOOL,Louisiana,Jefferson Parish,0.11144172287670483,0.30720671505794206,1
