School Name,State,County,total_students,reduced_price,title_I
3D ACADEMY,Texas,Hidalgo County,-0.9468313292920676,-0.9433923783010533,1
6TH GRADE CENTER,Texas,Hunt County,-0.3730165536011023,-0.36633331236345384,1
7TH AND 8TH GRADE ACADEMY,Oklahoma,Muskogee County,0.3106299564994619,1.0076168446308305,1
7TH AND 8TH GRADE ACADEMY,New Mexico,San Miguel County,-0.3550848418607596,0.1832467504342599,1
A & M CONS H S,Texas,Brazos County,5.058050639755184,2.628878029884086,0
A & M CONSOLIDATED MIDDLE,Texas,Brazos County,0.3039055645968334,-0.531207331202768,0
A B DUNCAN EL,Texas,Floyd County,-0.20714822000293262,-0.2564172998039111,1
A B MCBAY EL,Texas,Limestone County,0.31511288443454755,0.07333073787471715,1
A C BLUNT MIDDLE,Texas,San Patricio County,-0.646475157641328,-0.36633331236345384,1
A C JONES H S,Texas,Bee County,1.1399716244903102,1.9693819545268296,1
A E BUTLER INT,Texas,Hunt County,-0.3819824094712736,-0.28389630294379675,1
A G ELDER EL,Texas,Johnson County,-0.1331799090740191,0.10080974101460284,1
A LEAL JR MIDDLE,Texas,Bexar County,0.49218853787043143,-1.053308390860596,1
A M OCHOA EL,Texas,Hidalgo County,-0.03903842243722011,-1.053308390860596,1
A M PATE EL,Texas,Tarrant County,0.07527623990746439,-0.5861653374825393,1
A N RICO EL,Texas,Hidalgo County,1.034622818015797,-1.053308390860596,1
A P BEUTEL EL,Texas,Brazoria County,-0.02783110259950594,-0.11902228410448265,0
A V CATO EL,Texas,Tarrant County,-0.1869750442950471,0.23820475671403127,1
A+ ACADEMY EL,Texas,Dallas County,1.1915252957437954,1.1724908634701445,1
A. A. NELSON ELEMENTARY SCHOOL,Louisiana,Calcasieu Parish,0.39356412329854673,1.4747598980088872,1
A. E. PHILLIPS LABORATORY SCHOOL,Louisiana,Lincoln Parish,-0.4738824321405298,-1.053308390860596,0
A. MONTOYA ELEMENTARY,New Mexico,Bernalillo County,-0.45595072040018714,-0.3938123155033395,1
A.C. ALEXANDER ELEMENTARY SCHOOL,Louisiana,Jefferson Parish,0.20528115002494873,0.6503898038123166,1
A.C. STEERE ELEMENTARY SCHOOL,Louisiana,Caddo Parish,-0.18249211635996146,-0.4212913186432252,0
AARON PARKER EL,Texas,Lamar County,-0.633026373836071,-0.7785183594617391,1
AB HARRISON INT,Texas,Collin County,0.1626933346416349,0.12828874415448852,0
ABBETT EL,Texas,Dallas County,0.25235189334334823,-0.6411233437623107,0
ABBEVILLE HIGH SCHOOL,Louisiana,Vermilion Parish,0.05734452816712173,-0.17398029038425403,1
ABBOTT SCHOOL,Texas,Hill County,-0.5545751349720718,-0.2564172998039111,1
ABELL J H,Texas,Midland County,0.6782300471764866,0.7328268132319736,1
ABERNATHY DAEP,Texas,Hale County,-1.2135655414296649,-1.053308390860596,0
ABERNATHY EL,Texas,Hale County,-0.31025556250990294,0.12828874415448852,1
ABERNATHY H S,Texas,Hale County,-0.7652727479210981,-0.696081350042082,1
ABERNATHY MIDDLE,Texas,Hale County,-0.8325166669473831,-0.8059973626016248,1
ABILENE H S,Texas,Taylor County,3.3074672811042305,2.903668061282943,1
ABIQUIU ELEMENTARY,New Mexico,Rio Arriba County,-0.9311410815192678,-1.053308390860596,1
ABITA SPRINGS ELEMENTARY SCHOOL,Louisiana,St. Tammany Parish,0.4652909702599174,1.0900538540504876,1
ABITA SPRINGS MIDDLE SCHOOL,Louisiana,St. Tammany Parish,-0.19145797223013278,0.26568375985391696,1
ABOUT FACE PROGRAM EL,Texas,El Paso County,-1.1821850458840653,-1.053308390860596,1
ABQ CHARTER ACADEMY,New Mexico,Bernalillo County,-0.5456092791019005,-1.053308390860596,1
ABRAHAM KAZEN MIDDLE,Texas,Bexar County,-0.13766283700910478,-0.7510393563218535,1
ACADEMIC CENTER FOR EXCELLENCE,Arkansas,Lonoke County,-0.8302752029798403,-0.8609553688813962,0
ACADEMY AT CARRIE F THOMAS,Texas,Tarrant County,0.44287633058448905,1.0076168446308305,1
ACADEMY AT LARRAGOITE,New Mexico,Santa Fe County,-0.955797185162239,-0.6411233437623107,1
ACADEMY AT NOLA DUNN,Texas,Johnson County,0.24114457350563406,-0.09154328096459696,0
ACADEMY CENTRAL ES,Oklahoma,Osage County,-0.5837141665501286,-0.5586863343426537,1
ACADEMY DEL SOL ALT.,New Mexico,Otero County,-0.8257922750447546,-1.053308390860596,1
ACADEMY ES,Oklahoma,Texas County,-0.28335799489938895,0.1832467504342599,1
ACADEMY FOR TECH & CLASS,New Mexico,Santa Fe County,-0.40439704914670194,-0.09154328096459696,0
ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE,Texas,Taylor County,-0.8571727705903543,-0.696081350042082,1
ACADEMY H S,Texas,Bell County,-0.5052629276861295,-0.33885430922356813,1
ACADEMY INT,Texas,Bell County,-0.25197749935378927,-0.17398029038425403,1
ACADEMY J H,Texas,Bell County,-0.4200872969195018,-0.28389630294379675,1
ACADEMY OF ACCELERATED LEARNING,Texas,Harris County,0.08424209577763574,-0.06406427782471127,1
ACADEMY OF CREATIVE ED,Texas,Bexar County,-0.9356240094543534,-0.970871381440939,0
ACADEMY OF DALLAS,Texas,Dallas County,-0.11076526939859077,-0.11902228410448265,1
ACADIAN ELEMENTARY,Louisiana,Rapides Parish,-0.5344019592641863,-0.8884343720212818,1
ACADIAN ELEMENTARY SCHOOL,Louisiana,Terrebonne Parish,0.6894373670142008,0.8977008320712877,1
ACADIAN MIDDLE SCHOOL,Louisiana,Lafayette Parish,0.14700308686883506,0.787784819511745,1
ACADIANA HIGH SCHOOL,Louisiana,Lafayette Parish,2.5700256357826383,2.7387940424436286,1
ACCELERATED INTERDISCIPLINARY ACAD,Texas,Harris County,-0.6778556531869276,-0.613644340622425,1
ACCELERATED LEARNING CENTER,Texas,Nueces County,-0.8392410588500117,-0.7510393563218535,1
ACEQUIA MADRE ELEMENTARY,New Mexico,Santa Fe County,-0.8168264191745833,-0.3938123155033395,1
ACHIEVE ACADEMY,Texas,Collin County,-1.1463216224033799,-1.053308390860596,0
ACHIEVE EARLY COLLEGE H S,Texas,Hidalgo County,-0.5635409908422432,-1.053308390860596,1
ACHILLE ES,Oklahoma,Bryan County,-0.6487166216088708,-0.4487703217831109,1
ACHILLE HS,Oklahoma,Bryan County,-0.9378654734218963,-0.6686023469021963,1
ACHZIGER EL,Texas,Dallas County,0.33976898807751876,0.3755997724134597,1
ACORN ELEMENTARY SCHOOL,Arkansas,Polk County,-0.5568165989396147,0.4305577786932311,1
ACORN HIGH SCHOOL,Arkansas,Polk County,-0.6845800450895562,0.26568375985391696,0
ACTON EL,Texas,Hood County,0.22769578970037707,-0.5861653374825393,1
ACTON MIDDLE,Texas,Hood County,0.5168446415134026,0.10080974101460284,0
AD WHEAT MIDDLE,Texas,Johnson County,0.3554592358503186,0.8977008320712877,1
ADA EC CTR,Oklahoma,Pontotoc County,-0.3012897066397316,0.21072575357414558,1
ADA HS,Oklahoma,Pontotoc County,-0.09507502162579094,0.07333073787471715,0
ADA JHS,Oklahoma,Pontotoc County,-0.012140854826706108,0.4305577786932311,0
ADA MAE FAUBION EL,Texas,Williamson County,0.1694177265442634,-0.31137530608368247,1
ADAIR HS,Oklahoma,Mayes County,-0.5814727025825858,0.3755997724134597,0
ADAIR MS,Oklahoma,Mayes County,-0.6576824774790422,-0.09154328096459696,1
ADAM EL,Texas,Harris County,0.8059934933264281,0.4305577786932311,1
ADAMS EL,Texas,Johnson County,0.032688424524150564,-0.009106271544939908,1
ADAMS ES,Oklahoma,Garfield County,-0.49181414388087247,-0.28389630294379675,1
ADAMS ES,Oklahoma,Comanche County,-0.8392410588500117,-0.4762493249229966,0
ADAMS ES,Oklahoma,Cleveland County,-0.11973112526876212,0.12828874415448852,1
ADAMS ES,Oklahoma,Oklahoma County,0.1357957670311209,-0.531207331202768,1
ADAMS HILL EL,Texas,Bexar County,-0.06817745401527694,0.1557677472943742,1
ADAMS MIDDLE,Texas,Jim Wells County,0.6087446641826587,1.0900538540504876,1
ADELAIDE LEE ES,Oklahoma,Oklahoma County,-0.021106710696877442,-0.7510393563218535,1
ADELLE TURNER EL,Texas,Dallas County,-0.23852871554853228,0.10080974101460284,1
ADMIN SERVICES,Texas,Harris County,-1.1149411268577802,-0.970871381440939,0
ADOBE ACRES ELEMENTARY,New Mexico,Bernalillo County,0.021481104686436395,-1.053308390860596,1
ADRIAN SCHOOL,Texas,Oldham County,-0.915450833746468,-0.4487703217831109,1
ADVANTAGE ACADEMY,Texas,Dallas County,1.9715547564487015,3.343332111521114,1
ADVENTHEALTH SCHOOL,Texas,Bell County,-1.195633829689322,-1.0258293877207103,0
AFTON ES,Oklahoma,Ottawa County,-0.4626751123028156,-0.28389630294379675,1
AFTON HS,Oklahoma,Ottawa County,-0.9490727932596105,-0.7785183594617391,1
AGNES COTTON ACADEMY,Texas,Bexar County,-0.31473849044498864,-0.06406427782471127,1
AGNEW MIDDLE,Texas,Dallas County,0.5930544164098589,1.1999698666100302,1
AGRA ES,Oklahoma,Lincoln County,-0.5075043916536723,-0.696081350042082,1
AGRA HS,Oklahoma,Lincoln County,-1.0006264645130956,-0.9433923783010533,0
AGUA DULCE EL,Texas,Nueces County,-0.8795874102657827,-1.053308390860596,1
AGUA DULCE H S,Texas,Nueces County,-0.7876873875965265,-1.053308390860596,1
AHLF JUNIOR HIGH SCHOOL,Arkansas,White County,0.1088981994206069,0.8427428257915164,0
AIDA C ESCOBAR EL,Texas,Hidalgo County,0.24562750144071974,-1.053308390860596,1
AIKEN EL,Texas,Cameron County,0.8216837410992279,-1.053308390860596,1
AIKIN EL,Texas,Dallas County,0.16045187067409206,-0.06406427782471127,1
AIKIN EL,Texas,Lamar County,0.9113422998009413,0.10080974101460284,1
AIKMAN EL,Texas,Deaf Smith County,-0.26542628315904626,-0.03658527468482559,1
AIM CENTER H S,Texas,Orange County,-1.0409728159288667,-0.970871381440939,1
AIM COLLEGE & CAREER PREP,Texas,Galveston County,-0.8078605633044119,-0.7785183594617391,1
AIRLINE HIGH SCHOOL,Louisiana,Bossier Parish,2.2988084957099555,0.12828874415448852,0
AIRLINE PARK ACADEMY FOR ADVANCED STUDIES,Louisiana,Jefferson Parish,-0.5926800224202999,-0.5037283280628823,0
AIRPORT EL,Texas,Hidalgo County,0.6558154075010583,-1.053308390860596,1
AKIN EL,Texas,Hale County,-0.5590580629071574,-0.31137530608368247,1
AKINS H S,Texas,Travis County,4.753211540169358,6.201148438069225,1
ALAMEDA ELEMENTARY,New Mexico,DoÃƒÂ±a Ana County,-0.1466286928792761,-0.31137530608368247,1
ALAMEDA ELEMENTARY,New Mexico,Bernalillo County,-0.6263019819334424,-0.6411233437623107,1
ALAMO EL,Texas,Harris County,0.18062504638197757,0.6229108006724309,1
ALAMO HEIGHTS H S,Texas,Bexar County,2.2270816487485843,0.21072575357414558,0
ALAMO HEIGHTS J H,Texas,Bexar County,1.2049740795490524,0.1557677472943742,0
ALAMO J H,Texas,Midland County,0.5594324568967164,0.8427428257915164,1
ALAMO MIDDLE,Texas,Hidalgo County,1.0435886738859685,-1.053308390860596,1
ALAMOGORDO HIGH,New Mexico,Otero County,2.6170963791010378,4.387534230836771,1
ALAMOSA ELEMENTARY,New Mexico,Bernalillo County,0.3554592358503186,-1.053308390860596,1
ALAN B SHEPARD MIDDLE,Texas,Bexar County,-0.016623782761791776,-1.053308390860596,1
ALBA-GOLDEN EL,Texas,Wood County,-0.32818727425024563,-0.06406427782471127,1
ALBA-GOLDEN H S,Texas,Wood County,-0.18921650826258996,-0.03658527468482559,1
ALBANY HIGH SCHOOL,Louisiana,Livingston Parish,0.05062013626449323,0.2931627629938026,1
ALBANY JR-SR H S,Texas,Shackelford County,-0.7092361487325273,-0.6686023469021963,1
ALBANY LOWER ELEMENTARY SCHOOL,Louisiana,Livingston Parish,-0.11524819733367644,0.21072575357414558,1
ALBANY MIDDLE SCHOOL,Louisiana,Livingston Parish,0.19407383018723456,0.5679527943926596,1
ALBANY UPPER ELEMENTARY SCHOOL,Louisiana,Livingston Parish,-0.5411263511668148,-0.31137530608368247,1
